@relation 'Toto Winning Numbers-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Draw {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute Date {'\'(-inf-142.5]\'','\'(142.5-285]\'','\'(285-427.5]\'','\'(427.5-570]\'','\'(570-712.5]\'','\'(712.5-855]\'','\'(855-997.5]\'','\'(997.5-1140]\'','\'(1140-1282.5]\'','\'(1282.5-inf)\''}
@attribute 'Winning Number 1' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Winning Number 2' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Winning Number 3' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Winning Number 4' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Winning Number 5' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Winning Number 6' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Additional Number ' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'From Last' {'\'(-inf-25.6]\'','\'(25.6-51.2]\'','\'(51.2-76.8]\'','\'(76.8-102.4]\'','\'(102.4-128]\'','\'(128-153.6]\'','\'(153.6-179.2]\'','\'(179.2-204.8]\'','\'(204.8-230.4]\'','\'(230.4-inf)\''}
@attribute Odd {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute Even {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute ' 1-10' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute ' 11-20' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute ' 21-30' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute ' 31-40' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute ' 41-50' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Division 1 Winners' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Division 1 Prize' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Division 2 Winners' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Division 2 Prize' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Division 3 Winners' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Division 3 Prize' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Division 4 Winners' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Division 4 Prize' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Division 5 Winners' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Division 5 Prize' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Division 6 Winners' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Division 6 Prize' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Division 7 Winners' {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute 'Division 7 Prize' numeric

@data
'\'(8.1-inf)\'','\'(-inf-142.5]\'','\'(0.9-1.8]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(1.8-2.7]\'','\'(8.1-inf)\'','\'(5.4-6.3]\'','\'(-inf-25.6]\'','\'(3.6-4.5]\'','\'(3.6-4.5]\'','\'(3.6-4.5]\'','\'(2.7-3.6]\'','\'(0.9-1.8]\'','\'(-inf-0.9]\'','\'(1.8-2.7]\'','\'(-inf-0.9]\'','\'(3.6-4.5]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(0.9-1.8]\'','\'(8.1-inf)\'','\'(0.9-1.8]\'','\'(8.1-inf)\'','\'(0.9-1.8]\'',10
'\'(8.1-inf)\'','\'(-inf-142.5]\'','\'(4.5-5.4]\'','\'(4.5-5.4]\'','\'(8.1-inf)\'','\'(7.2-8.1]\'','\'(7.2-8.1]\'','\'(8.1-inf)\'','\'(0.9-1.8]\'','\'(-inf-25.6]\'','\'(2.7-3.6]\'','\'(5.4-6.3]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(2.7-3.6]\'','\'(0.9-1.8]\'','\'(6.3-7.2]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(6.3-7.2]\'','\'(-inf-0.9]\'','\'(3.6-4.5]\'','\'(-inf-0.9]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'',10
'\'(8.1-inf)\'','\'(-inf-142.5]\'','\'(3.6-4.5]\'','\'(3.6-4.5]\'','\'(7.2-8.1]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\'','\'(0.9-1.8]\'','\'(-inf-25.6]\'','\'(2.7-3.6]\'','\'(5.4-6.3]\'','\'(-inf-0.9]\'','\'(2.7-3.6]\'','\'(-inf-0.9]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(3.6-4.5]\'','\'(-inf-0.9]\'','\'(4.5-5.4]\'','\'(-inf-0.9]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'',10
'\'(8.1-inf)\'','\'(-inf-142.5]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(6.3-7.2]\'','\'(0.9-1.8]\'','\'(-inf-25.6]\'','\'(5.4-6.3]\'','\'(2.7-3.6]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(2.7-3.6]\'','\'(0.9-1.8]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(1.8-2.7]\'','\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(-inf-0.9]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'',10
'\'(8.1-inf)\'','\'(-inf-142.5]\'','\'(0.9-1.8]\'','\'(2.7-3.6]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(7.2-8.1]\'','\'(7.2-8.1]\'','\'(-inf-0.9]\'','\'(-inf-25.6]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'','\'(1.8-2.7]\'','\'(0.9-1.8]\'','\'(-inf-0.9]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(-inf-0.9]\'','\'(1.8-2.7]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(4.5-5.4]\'','\'(-inf-0.9]\'','\'(3.6-4.5]\'','\'(-inf-0.9]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'',10
'\'(8.1-inf)\'','\'(-inf-142.5]\'','\'(2.7-3.6]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(5.4-6.3]\'','\'(5.4-6.3]\'','\'(5.4-6.3]\'','\'(1.8-2.7]\'',?,'\'(2.7-3.6]\'','\'(5.4-6.3]\'','\'(-inf-0.9]\'','\'(2.7-3.6]\'','\'(0.9-1.8]\'','\'(4.5-5.4]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(3.6-4.5]\'','\'(-inf-0.9]\'','\'(2.7-3.6]\'','\'(-inf-0.9]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'',10
'\'(8.1-inf)\'','\'(-inf-142.5]\'','\'(0.9-1.8]\'','\'(0.9-1.8]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(1.8-2.7]\'','\'(5.4-6.3]\'','\'(7.2-8.1]\'','\'(-inf-25.6]\'','\'(3.6-4.5]\'','\'(3.6-4.5]\'','\'(3.6-4.5]\'','\'(2.7-3.6]\'','\'(0.9-1.8]\'','\'(0.9-1.8]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(1.8-2.7]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(-inf-0.9]\'','\'(2.7-3.6]\'','\'(0.9-1.8]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'',10
'\'(8.1-inf)\'','\'(-inf-142.5]\'','\'(0.9-1.8]\'','\'(2.7-3.6]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(8.1-inf)\'','\'(3.6-4.5]\'','\'(-inf-25.6]\'','\'(2.7-3.6]\'','\'(5.4-6.3]\'','\'(1.8-2.7]\'','\'(0.9-1.8]\'','\'(0.9-1.8]\'','\'(2.7-3.6]\'','\'(1.8-2.7]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(4.5-5.4]\'','\'(-inf-0.9]\'','\'(2.7-3.6]\'','\'(-inf-0.9]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'',10
'\'(8.1-inf)\'','\'(-inf-142.5]\'','\'(2.7-3.6]\'','\'(2.7-3.6]\'','\'(2.7-3.6]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(2.7-3.6]\'',?,'\'(3.6-4.5]\'','\'(3.6-4.5]\'','\'(-inf-0.9]\'','\'(4.5-5.4]\'','\'(-inf-0.9]\'','\'(2.7-3.6]\'','\'(1.8-2.7]\'','\'(0.9-1.8]\'','\'(0.9-1.8]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(-inf-0.9]\'','\'(4.5-5.4]\'','\'(-inf-0.9]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'',10
'\'(8.1-inf)\'','\'(-inf-142.5]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(7.2-8.1]\'','\'(8.1-inf)\'','\'(8.1-inf)\'',?,'\'(2.7-3.6]\'','\'(5.4-6.3]\'','\'(-inf-0.9]\'','\'(2.7-3.6]\'','\'(-inf-0.9]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(3.6-4.5]\'','\'(-inf-0.9]\'','\'(5.4-6.3]\'','\'(-inf-0.9]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'','\'(8.1-inf)\'','\'(-inf-0.9]\'',10
'\'(8.1-inf)\'','\'(-inf-142.5]\'','\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(3.6-4.5]\'','\'(3.6-4.5]\'','\'(3.6-4.5]\'','\'(3.6-4.5]\'','\'(6.3-7.2]\'',?,'\'(2.7-3.6]\'','\'(5.4-6.3]\'','\'(3.6-4.5]\'','\'(-inf-0.9]\'','\'(6.3-7.2]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(3.6-4.5]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(2.7-3.6]\'','\'(2.7-3.6]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(2.7-3.6]\'','\'(8.1-inf)\'','\'(1.8-2.7]\'','\'(8.1-inf)\'','\'(2.7-3.6]\'',10
'\'(8.1-inf)\'','\'(-inf-142.5]\'','\'(-inf-0.9]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(8.1-inf)\'','\'(0.9-1.8]\'',?,'\'(2.7-3.6]\'','\'(5.4-6.3]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(0.9-1.8]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(2.7-3.6]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(0.9-1.8]\'','\'(8.1-inf)\'','\'(0.9-1.8]\'','\'(8.1-inf)\'','\'(0.9-1.8]\'',10
