@relation 'Toto Winning Numbers-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute Draw numeric
@attribute Date numeric
@attribute 'Winning Number 1' numeric
@attribute 'Winning Number 2' numeric
@attribute 'Winning Number 3' numeric
@attribute 'Winning Number 4' numeric
@attribute 'Winning Number 5' numeric
@attribute 'Winning Number 6' numeric
@attribute 'Additional Number ' numeric
@attribute 'From Last' numeric
@attribute Odd numeric
@attribute Even numeric
@attribute ' 1-10' numeric
@attribute ' 11-20' numeric
@attribute ' 21-30' numeric
@attribute ' 31-40' numeric
@attribute ' 41-50' numeric
@attribute 'Division 1 Winners' numeric
@attribute 'Division 1 Prize' numeric
@attribute 'Division 2 Winners' numeric
@attribute 'Division 2 Prize' numeric
@attribute 'Division 3 Winners' numeric
@attribute 'Division 3 Prize' numeric
@attribute 'Division 4 Winners' numeric
@attribute 'Division 4 Prize' numeric
@attribute 'Division 5 Winners' numeric
@attribute 'Division 5 Prize' numeric
@attribute 'Division 6 Winners' numeric
@attribute 'Division 6 Prize' numeric
@attribute 'Division 7 Winners' numeric
@attribute 'Division 7 Prize' numeric

@data
9,0,1,1,2,3,2,9,6,0,4,4,4,3,1,0,2,0,4,0,0,1,2,1,2,1,9,1,9,1,10
9,1,5,5,9,8,8,9,1,1,3,6,0,0,3,1,7,0,0,0,0,0,7,0,4,0,9,0,9,0,10
9,2,4,4,8,7,8,9,1,2,3,6,0,3,0,3,4,0,0,0,0,0,4,0,5,0,9,0,9,0,10
9,3,1,2,2,3,4,7,1,3,6,3,2,3,3,1,0,0,0,0,0,0,2,0,1,0,9,0,9,0,10
9,4,1,3,7,8,8,8,0,4,9,0,2,1,0,3,4,0,2,0,0,0,5,0,4,0,9,0,9,0,10
9,5,3,3,4,6,6,6,2,?,3,6,0,3,1,5,0,0,0,0,0,0,4,0,3,0,9,0,9,0,10
9,6,1,1,1,2,2,6,8,5,4,4,4,3,1,1,0,0,2,0,0,1,2,0,3,1,9,0,9,0,10
9,7,1,3,5,6,7,9,4,6,3,6,2,1,1,3,2,0,0,0,0,0,5,0,3,0,9,0,9,0,10
9,8,3,3,3,6,7,8,3,?,4,4,0,5,0,3,2,1,1,0,0,1,2,0,5,0,9,0,9,0,10
9,9,3,4,7,8,8,9,9,?,3,6,0,3,0,3,4,0,0,0,0,0,4,0,6,0,9,0,9,0,10
9,10,0,1,4,4,4,4,7,?,3,6,4,0,7,0,0,1,4,0,0,3,3,2,3,3,9,2,9,3,10
9,11,0,2,3,5,6,9,1,?,3,6,2,3,1,1,2,0,0,0,0,1,3,1,2,1,9,1,9,1,10
9,12,0,1,1,5,5,8,1,7,4,4,7,0,1,1,2,0,0,0,0,1,2,1,1,1,9,1,9,0,10
